No.,Time,Source,Destination,Protocol,Length,Info
1,12:09:58.390854384,144.38.239.87,172.64.41.4,TCP,54,51428  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0
2,12:09:58.390869623,144.38.239.87,172.64.41.4,TCP,54,51416  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0
3,12:09:58.412520287,172.64.41.4,144.38.239.87,TCP,54,443  >  51428 [ACK] Seq=1 Ack=675 Win=57344 Len=0
4,12:09:58.412520634,172.64.41.4,144.38.239.87,TCP,54,443  >  51416 [ACK] Seq=1 Ack=675 Win=57344 Len=0
5,12:09:58.422113414,144.38.239.87,172.64.41.4,TCP,54,51428  >  443 [ACK] Seq=675 Ack=4916 Win=59392 Len=0
6,12:09:58.422158207,144.38.239.87,172.64.41.4,TCP,54,51416  >  443 [ACK] Seq=675 Ack=4918 Win=59392 Len=0
7,12:09:58.469202328,172.64.41.4,144.38.239.87,TCP,54,443  >  51428 [ACK] Seq=4916 Ack=909 Win=65536 Len=0
8,12:09:58.469202517,172.64.41.4,144.38.239.87,TCP,54,443  >  51416 [ACK] Seq=4918 Ack=926 Win=65536 Len=0
9,12:09:58.470364312,144.38.239.87,172.64.41.4,TCP,54,"51416  >  443 [FIN, ACK] Seq=950 Ack=5455 Win=64128 Len=0"
10,12:09:58.474043531,144.38.239.87,172.64.41.4,TCP,54,51428  >  443 [ACK] Seq=1465 Ack=6622 Win=64128 Len=0
